No,;Time;;Source;Destination;;Length;Info;;;Time 1;Time 2;Delay;;Delay 1;Delay 2;Jitter
1;0;;147,92,165,67;192,168,100,98;TCP;56;443  >  59351 [ACK] Seq=1 Ack=1 Win=8232 Len=0;;;0;0,000034;0,000034;;-0,000169;0,000203;0,000372
2;0,000034;;192,168,100,98;147,92,165,67;TLSv1,2;113;Application Data;;;0,000034;0,000237;0,000203;;-0,019052;0,019255;0,038307
3;0,000237;;162.159.134.234;192,168,100,98;TLSv1,2;271;Application Data;;;0,000237;0,019492;0,019255;;-0,013449;0,032704;0,046153
4;0,019492;;147,92,165,67;192,168,100,98;TCP;56;443  >  59351 [ACK] Seq=1 Ack=60 Win=8232 Len=0;;;0,019492;0,052196;0,032704;;-0,062875;0,095579;0,158454
5;0,052196;;192,168,100,98;162.159.134.234;TCP;54;49949  >  443 [ACK] Seq=1 Ack=218 Win=511 Len=0;;;0,052196;0,147775;0,095579;;0,070684;0,024895;-0,045789
7;0,147775;;192,168,100,98;35,186,224,47;TLSv1,2;97;Application Data;;;0,147775;0,17267;0,024895;;-0,051108;0,076003;0,127111
9;0,17267;;35,186,224,47;192,168,100,98;TCP;54;443  >  59347 [ACK] Seq=1 Ack=44 Win=272 Len=0;;;0,17267;0,248673;0,076003;;0,022087;0,053916;0,031829
10;0,248673;;35,186,224,47;192,168,100,98;TLSv1,2;94;Application Data;;;0,248673;0,302589;0,053916;;0,007952;0,045964;0,038012
11;0,302589;;192,168,100,98;35,186,224,47;TCP;54;59347  >  443 [ACK] Seq=44 Ack=41 Win=512 Len=0;;;0,302589;0,348553;0,045964;;-0,041186;0,08715;0,128336
13;0,348553;;192,168,100,98;104.199.240.237;TCP;65;61461  >  4070 [PSH, ACK] Seq=1 Ack=1 Win=511 Len=11;;;0,348553;0,435703;0,08715;;0,036304;0,050846;0,014542
15;0,435703;;104.199.240.237;192,168,100,98;TCP;65;4070  >  61461 [PSH, ACK] Seq=1 Ack=12 Win=16 Len=11;;;0,435703;0,486549;0,050846;;-0,085842;0,136688;0,22253
16;0,486549;;192,168,100,98;104.199.240.237;TCP;54;61461  >  4070 [ACK] Seq=12 Ack=12 Win=511 Len=0;;;0,486549;0,623237;0,136688;;0,101257;0,035431;-0,065826
17;0,623237;;162.159.134.234;192,168,100,98;TLSv1,2;411;Application Data;;;0,623237;0,658668;0,035431;;0,020277;0,015154;-0,005123
19;0,658668;;192,168,100,98;35,186,224,25;TCP;55;65355  >  443 [ACK] Seq=1 Ack=1 Win=512 Len=1 [TCP segment of a reassembled PDU];;;0,658668;0,673822;0,015154;;0,007773;0,007381;-0,000392
20;0,673822;;192,168,100,98;162.159.134.234;TCP;54;49949  >  443 [ACK] Seq=1 Ack=575 Win=510 Len=0;;;0,673822;0,681203;0,007381;;-0,461625;0,469006;0,930631
21;0,681203;;35,186,224,25;192,168,100,98;TCP;66;443  >  65355 [ACK] Seq=1 Ack=2 Win=265 Len=0 SLE=1 SRE=2;;;0,681203;1,150209;0,469006;;0,44632;0,022686;-0,423634
23;1,150209;;192,168,100,98;147,92,165,67;TLSv1,2;88;Application Data;;;1,150209;1,172895;0,022686;;0,012688;0,009998;-0,00269
24;1,172895;;147,92,165,67;192,168,100,98;TCP;56;443  >  59351 [ACK] Seq=1 Ack=94 Win=8232 Len=0;;;1,172895;1,182893;0,009998;;-0,03646;0,046458;0,082918
25;1,182893;;147,92,165,67;192,168,100,98;TLSv1,2;88;Application Data;;;1,182893;1,229351;0,046458;;0,031435;0,015023;-0,016412
26;1,229351;;192,168,100,98;147,92,165,67;TCP;54;59351  >  443 [ACK] Seq=94 Ack=35 Win=510 Len=0;;;1,229351;1,244374;0,015023;;-0,009079;0,024102;0,033181
27;1,244374;;192,168,100,98;35,186,224,47;TLSv1,2;89;Application Data;;;1,244374;1,268476;0,024102;;-0,050521;0,074623;0,125144
28;1,268476;;35,186,224,47;192,168,100,98;TCP;54;443  >  62571 [ACK] Seq=1 Ack=36 Win=266 Len=0;;;1,268476;1,343099;0,074623;;0,021848;0,052775;0,030927
29;1,343099;;35,186,224,47;192,168,100,98;TLSv1,2;85;Application Data;;;1,343099;1,395874;0,052775;;-0,857938;0,910713;1,768651
31;1,395874;;192,168,100,98;35,186,224,47;TCP;54;62571  >  443 [ACK] Seq=36 Ack=32 Win=509 Len=0;;;1,395874;2,306587;0,910713;;0,898964;0,011749;-0,887215
33;2,306587;;192,168,100,98;192.168.100.111;TCP;164;59360  >  8009 [PSH, ACK] Seq=1 Ack=1 Win=507 Len=110 [TCP segment of a reassembled PDU];;;2,306587;2,318336;0,011749;;-0,013893;0,025642;0,039535
34;2,318336;;192,168,100,98;192.168.100.111;TCP;164;59361  >  8009 [PSH, ACK] Seq=1 Ack=1 Win=513 Len=110 [TCP segment of a reassembled PDU];;;2,318336;2,343978;0,025642;;0,025642;0;-0,025642
35;2,343978;;192.168.100.111;192,168,100,98;TCP;164;8009  >  59360 [PSH, ACK] Seq=1 Ack=111 Win=1419 Len=110 [TCP segment of a reassembled PDU];;;2,343978;2,343978;0;;-0,051776;0,051776;0,103552
36;2,343978;;192.168.100.111;192,168,100,98;TCP;164;8009  >  59361 [PSH, ACK] Seq=1 Ack=111 Win=1436 Len=110 [TCP segment of a reassembled PDU];;;2,343978;2,395754;0,051776;;0,051734;4,2E-05;-0,051692
38;2,395754;;192,168,100,98;192.168.100.111;TCP;54;59361  >  8009 [ACK] Seq=111 Ack=111 Win=512 Len=0;;;2,395754;2,395796;4,2E-05;;-0,200506;0,200548;0,401054
39;2,395796;;192,168,100,98;192.168.100.111;TCP;54;59360  >  8009 [ACK] Seq=111 Ack=111 Win=513 Len=0;;;2,395796;2,596344;0,200548;;0,16997;0,030578;-0,139392
41;2,596344;;192,168,100,98;104,18,1,191;TCP;55;59516  >  443 [ACK] Seq=1 Ack=1 Win=511 Len=1 [TCP segment of a reassembled PDU];;;2,596344;2,626922;0,030578;;-0,433922;0,4645;0,898422
42;2,626922;;104,18,1,191;192,168,100,98;TCP;66;443  >  59516 [ACK] Seq=1 Ack=2 Win=70 Len=0 SLE=1 SRE=2;;;2,626922;3,091422;0,4645;;0,44653;0,01797;-0,42856
43;3,091422;;192,168,100,98;31,13,68,60;TLSv1,2;129;Application Data;;;3,091422;3,109392;0,01797;;-0,222751;0,240721;0,463472
44;3,109392;;31,13,68,60;192,168,100,98;TCP;54;443  >  59353 [ACK] Seq=1 Ack=76 Win=308 Len=0;;;3,109392;3,350113;0,240721;;0,192989;0,047732;-0,145257
48;3,350113;;31,13,68,60;192,168,100,98;TLSv1,2;126;Application Data;;;3,350113;3,397845;0,047732;;-1,707256;1,754988;3,462244
49;3,397845;;192,168,100,98;31,13,68,60;TCP;54;59353  >  443 [ACK] Seq=76 Ack=73 Win=514 Len=0;;;3,397845;5,152833;1,754988;;1,699713;0,055275;-1,644438
77;5,152833;;162.159.134.234;192,168,100,98;TLSv1,2;175;Application Data;;;5,152833;5,208108;0,055275;;-0,513682;0,568957;1,082639
78;5,208108;;192,168,100,98;162.159.134.234;TCP;54;49949  >  443 [ACK] Seq=1 Ack=696 Win=509 Len=0;;;5,208108;5,777065;0,568957;;0,540858;0,028099;-0,512759
82;5,777065;;162.159.134.234;192,168,100,98;TLSv1,2;149;Application Data;;;5,777065;5,805164;0,028099;;0,028066;3,3E-05;-0,028033
85;5,805164;;172,65,217,212;192,168,100,98;TCP;54;5223  >  59535 [ACK] Seq=1 Ack=1 Win=105 Len=0;;;5,805164;5,805197;3,3E-05;;-0,020806;0,020839;0,041645
86;5,805197;;192,168,100,98;172,65,217,212;TCP;54;[TCP ACKed unseen segment] 59535  >  5223 [ACK] Seq=1 Ack=2 Win=514 Len=0;;;5,805197;5,826036;0,020839;;-0,046131;0,06697;0,113101
88;5,826036;;192,168,100,98;162.159.134.234;TCP;54;49949  >  443 [ACK] Seq=1 Ack=791 Win=509 Len=0;;;5,826036;5,893006;0,06697;;0,011819;0,055151;0,043332
90;5,893006;;162.159.134.234;192,168,100,98;TLSv1,2;503;Application Data;;;5,893006;5,948157;0,055151;;-0,162405;0,217556;0,379961
91;5,948157;;192,168,100,98;162.159.134.234;TCP;54;49949  >  443 [ACK] Seq=1 Ack=1240 Win=514 Len=0;;;5,948157;6,165713;0,217556;;0,169373;0,048183;-0,12119
94;6,165713;;162.159.134.234;192,168,100,98;TLSv1,2;102;Application Data;;;6,165713;6,213896;0,048183;;-0,211574;0,259757;0,471331
95;6,213896;;192,168,100,98;162.159.134.234;TCP;54;49949  >  443 [ACK] Seq=1 Ack=1288 Win=513 Len=0;;;6,213896;6,473653;0,259757;;0,240293;0,019464;-0,220829
97;6,473653;;162.159.134.234;192,168,100,98;TLSv1,2;185;Application Data;;;6,473653;6,493117;0,019464;;0,019426;3,8E-05;-0,019388
98;6,493117;;162.159.134.234;192,168,100,98;TLSv1,2;111;Application Data;;;6,493117;6,493155;3,8E-05;;-0,293439;0,293477;0,586916
99;6,493155;;192,168,100,98;162.159.134.234;TCP;54;49949  >  443 [ACK] Seq=1 Ack=1476 Win=513 Len=0;;;6,493155;6,786632;0,293477;;0,274362;0,019115;-0,255247
100;6,786632;;192,168,100,98;74,125,68,19;TCP;55;65356  >  443 [ACK] Seq=1 Ack=1 Win=512 Len=1 [TCP segment of a reassembled PDU];;;6,786632;6,805747;0,019115;;-0,038521;0,057636;0,096157
101;6,805747;;74,125,68,19;192,168,100,98;TCP;66;443  >  65356 [ACK] Seq=1 Ack=2 Win=294 Len=0 SLE=1 SRE=2;;;6,805747;6,863383;0,057636;;0,011874;0,045762;0,033888
102;6,863383;;162.159.134.234;192,168,100,98;TLSv1,2;265;Application Data;;;6,863383;6,909145;0,045762;;-0,155193;0,200955;0,356148
103;6,909145;;192,168,100,98;162.159.134.234;TCP;54;49949  >  443 [ACK] Seq=1 Ack=1687 Win=512 Len=0;;;6,909145;7,110100;0,200955;;0,181556;0,019399;-0,162157
104;7,110100;;192,168,100,98;104,18,30,87;TCP;66;65395  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1;;;7,110100;7,129499;0,019399;;0,019307;9,2E-05;-0,019215
105;7,129499;;104,18,30,87;192,168,100,98;TCP;66;443  >  65395 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1400 SACK_PERM=1 WS=1024;;;7,129499;7,129591;9,2E-05;;-0,02542;0,025512;0,050932
106;7,129591;;192,168,100,98;104,18,30,87;TCP;54;65395  >  443 [ACK] Seq=1 Ack=1 Win=131584 Len=0;;;7,129591;7,155103;0,025512;;0,00609;0,019422;0,013332
107;7,155103;;192,168,100,98;104,18,30,87;TLSv1,3;571;Client Hello;;;7,155103;7,174525;0,019422;;0,016173;0,003249;-0,012924
109;7,174525;;104,18,30,87;192,168,100,98;TCP;54;443  >  65395 [ACK] Seq=1 Ack=518 Win=68608 Len=0;;;7,174525;7,177774;0,003249;;0,003249;0;-0,003249
110;7,177774;;104,18,30,87;192,168,100,98;TLSv1,3;1466;Server Hello, Change Cipher Spec;;;7,177774;7,177774;0;;-4,2E-05;4,2E-05;8,4E-05
111;7,177774;;104,18,30,87;192,168,100,98;TCP;1466;443  >  65395 [ACK] Seq=1413 Ack=518 Win=68608 Len=1412 [TCP segment of a reassembled PDU];;;7,177774;7,177816;4,2E-05;;-0,017102;0,017144;0,034246
112;7,177816;;192,168,100,98;104,18,30,87;TCP;54;65395  >  443 [ACK] Seq=518 Ack=2825 Win=131584 Len=0;;;7,177816;7,194960;0,017144;;0,002735;0,014409;0,011674
113;7,194960;;104,18,30,87;192,168,100,98;TLSv1,3;1422;Application Data;;;7,194960;7,209369;0,014409;;0,013355;0,001054;-0,012301
114;7,209369;;192,168,100,98;104,18,30,87;TLSv1,3;134;Change Cipher Spec, Application Data;;;7,209369;7,210423;0,001054;;-0,017144;0,018198;0,035342
115;7,210423;;192,168,100,98;104,18,30,87;TLSv1,3;2145;Application Data;;;7,210423;7,228621;0,018198;;0,01779;0,000408;-0,017382
118;7,228621;;104,18,30,87;192,168,100,98;TCP;56;443  >  65395 [ACK] Seq=4193 Ack=598 Win=68608 Len=0;;;7,228621;7,229029;0,000408;;-0,006263;0,006671;0,012934
119;7,229029;;104,18,30,87;192,168,100,98;TCP;56;443  >  65395 [ACK] Seq=4193 Ack=1998 Win=71680 Len=0;;;7,229029;7,235700;0,006671;;-0,030709;0,03738;0,068089
120;7,235700;;104,18,30,87;192,168,100,98;TCP;56;443  >  65395 [ACK] Seq=4193 Ack=2689 Win=74752 Len=0;;;7,235700;7,273080;0,03738;;0,03738;0;-0,03738
121;7,273080;;104,18,30,87;192,168,100,98;TLSv1,3;1466;Application Data;;;7,273080;7,273080;0;;0;0;0
122;7,273080;;104,18,30,87;192,168,100,98;TLSv1,3;185;Application Data;;;7,273080;7,273080;0;;-5,7E-05;5,7E-05;0,000114
123;7,273080;;104,18,30,87;192,168,100,98;TLSv1,3;81;Application Data;;;7,273080;7,273137;5,7E-05;;-0,007422;0,007479;0,014901
124;7,273137;;192,168,100,98;104,18,30,87;TCP;54;65395  >  443 [ACK] Seq=2689 Ack=5763 Win=131584 Len=0;;;7,273137;7,280616;0,007479;;0,007315;0,000164;-0,007151
125;7,280616;;192,168,100,98;162.247.243.149;TLSv1,2;78;Application Data;;;7,280616;7,280780;0,000164;;-0,020187;0,020351;0,040538
126;7,280780;;192,168,100,98;162.247.243.149;TCP;54;51249  >  443 [FIN, ACK] Seq=25 Ack=1 Win=508 Len=0;;;7,280780;7,301131;0,020351;;0,020351;0;-0,020351
127;7,301131;;162.247.243.149;192,168,100,98;TCP;54;443  >  51249 [ACK] Seq=1 Ack=25 Win=73 Len=0;;;7,301131;7,301131;0;;-5,9E-05;5,9E-05;0,000118
128;7,301131;;162.247.243.149;192,168,100,98;TCP;54;443  >  51249 [FIN, ACK] Seq=1 Ack=26 Win=73 Len=0;;;7,301131;7,301190;5,9E-05;;-0,013024;0,013083;0,026107
129;7,301190;;192,168,100,98;162.247.243.149;TCP;54;51249  >  443 [ACK] Seq=26 Ack=2 Win=508 Len=0;;;7,301190;7,314273;0,013083;;0,012628;0,000455;-0,012173
130;7,314273;;192,168,100,98;104,18,30,87;TLSv1,3;2120;Application Data;;;7,314273;7,314728;0,000455;;0,000163;0,000292;0,000129
131;7,314728;;192,168,100,98;104,18,30,87;TCP;66;65396  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1;;;7,314728;7,315020;0,000292;;2,9E-05;0,000263;0,000234
132;7,315020;;192,168,100,98;104,18,30,87;TCP;66;65397  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1;;;7,315020;7,315283;0,000263;;-2E-05;0,000283;0,000303
133;7,315283;;192,168,100,98;104,18,30,87;TCP;66;65398  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1;;;7,315283;7,315566;0,000283;;1E-06;0,000282;0,000281
134;7,315566;;192,168,100,98;104,18,30,87;TCP;66;65399  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1;;;7,315566;7,315848;0,000282;;2E-05;0,000262;0,000242
135;7,315848;;192,168,100,98;104,18,30,87;TCP;66;65400  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1;;;7,315848;7,316110;0,000262;;1,7E-05;0,000245;0,000228
136;7,316110;;192,168,100,98;104,18,30,87;TCP;66;65401  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1;;;7,316110;7,316355;0,000245;;7E-06;0,000238;0,000231
137;7,316355;;192,168,100,98;104,18,30,87;TCP;66;65402  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1;;;7,316355;7,316593;0,000238;;6E-06;0,000232;0,000226
138;7,316593;;192,168,100,98;104,18,30,87;TCP;66;65403  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1;;;7,316593;7,316825;0,000232;;-3E-06;0,000235;0,000238
139;7,316825;;192,168,100,98;104,18,30,87;TCP;66;65404  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1;;;7,316825;7,317060;0,000235;;4E-06;0,000231;0,000227
140;7,317060;;192,168,100,98;104,18,30,87;TCP;66;65405  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1;;;7,317060;7,317291;0,000231;;3E-06;0,000228;0,000225
141;7,317291;;192,168,100,98;104,18,30,87;TCP;66;65406  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1;;;7,317291;7,317519;0,000228;;-3,3E-05;0,000261;0,000294
142;7,317519;;192,168,100,98;104,18,30,87;TCP;66;65407  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1;;;7,317519;7,317780;0,000261;;1,9E-05;0,000242;0,000223
143;7,317780;;192,168,100,98;104,18,30,87;TCP;66;65408  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1;;;7,317780;7,318022;0,000242;;-0,014839;0,015081;0,02992
144;7,318022;;192,168,100,98;104,18,30,87;TCP;66;65409  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1;;;7,318022;7,333103;0,015081;;0,014779;0,000302;-0,014477
145;7,333103;;104,18,30,87;192,168,100,98;TCP;56;443  >  65395 [ACK] Seq=5763 Ack=4089 Win=77824 Len=0;;;7,333103;7,333405;0,000302;;-0,000312;0,000614;0,000926
146;7,333405;;104,18,30,87;192,168,100,98;TCP;56;443  >  65395 [ACK] Seq=5763 Ack=4755 Win=80896 Len=0;;;7,333405;7,334019;0,000614;;0,000552;6,2E-05;-0,00049
147;7,334019;;104,18,30,87;192,168,100,98;TCP;66;443  >  65396 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1400 SACK_PERM=1 WS=1024;;;7,334019;7,334081;6,2E-05;;-0,000234;0,000296;0,00053
148;7,334081;;192,168,100,98;104,18,30,87;TCP;54;65396  >  443 [ACK] Seq=1 Ack=1 Win=131584 Len=0;;;7,334081;7,334377;0,000296;;0,000244;5,2E-05;-0,000192
149;7,334377;;104,18,30,87;192,168,100,98;TCP;66;443  >  65397 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1400 SACK_PERM=1 WS=1024;;;7,334377;7,334429;5,2E-05;;-0,000138;0,00019;0,000328
150;7,334429;;192,168,100,98;104,18,30,87;TCP;54;65397  >  443 [ACK] Seq=1 Ack=1 Win=131584 Len=0;;;7,334429;7,334619;0,00019;;0,000136;5,4E-05;-8,2E-05
151;7,334619;;104,18,30,87;192,168,100,98;TCP;66;443  >  65398 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1400 SACK_PERM=1 WS=1024;;;7,334619;7,334673;5,4E-05;;-0,001745;0,001799;0,003544
152;7,334673;;192,168,100,98;104,18,30,87;TCP;54;65398  >  443 [ACK] Seq=1 Ack=1 Win=131584 Len=0;;;7,334673;7,336472;0,001799;;0,001727;7,2E-05;-0,001655
153;7,336472;;104,18,30,87;192,168,100,98;TCP;66;443  >  65399 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1400 SACK_PERM=1 WS=1024;;;7,336472;7,336544;7,2E-05;;-6,8E-05;0,00014;0,000208
154;7,336544;;192,168,100,98;104,18,30,87;TCP;54;65399  >  443 [ACK] Seq=1 Ack=1 Win=131584 Len=0;;;7,336544;7,336684;0,00014;;8,9E-05;5,1E-05;-3,8E-05
155;7,336684;;104,18,30,87;192,168,100,98;TCP;66;443  >  65400 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1400 SACK_PERM=1 WS=1024;;;7,336684;7,336735;5,1E-05;;-0,009162;0,009213;0,018375
156;7,336735;;192,168,100,98;104,18,30,87;TCP;54;65400  >  443 [ACK] Seq=1 Ack=1 Win=131584 Len=0;;;7,336735;7,345948;0,009213;;0,006534;0,002679;-0,003855
157;7,345948;;192,168,100,98;104,18,30,87;TLSv1,3;571;Client Hello;;;7,345948;7,348627;0,002679;;0,001222;0,001457;0,000235
158;7,348627;;192,168,100,98;104,18,30,87;TLSv1,3;571;Client Hello;;;7,348627;7,350084;0,001457;;-0,000741;0,002198;0,002939
159;7,350084;;192,168,100,98;192.168.100.111;TCP;164;59360  >  8009 [PSH, ACK] Seq=111 Ack=111 Win=513 Len=110 [TCP segment of a reassembled PDU];;;7,350084;7,352282;0,002198;;0,000862;0,001336;0,000474
160;7,352282;;192,168,100,98;104,18,30,87;TLSv1,3;571;Client Hello;;;7,352282;7,353618;0,001336;;0,001261;7,5E-05;-0,001186
161;7,353618;;104,18,30,87;192,168,100,98;TCP;66;443  >  65402 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1400 SACK_PERM=1 WS=1024;;;7,353618;7,353693;7,5E-05;;-0,000265;0,00034;0,000605
162;7,353693;;192,168,100,98;104,18,30,87;TCP;54;65402  >  443 [ACK] Seq=1 Ack=1 Win=131584 Len=0;;;7,353693;7,354033;0,00034;;0,000293;4,7E-05;-0,000246
163;7,354033;;104,18,30,87;192,168,100,98;TCP;66;443  >  65403 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1400 SACK_PERM=1 WS=1024;;;7,354033;7,354080;4,7E-05;;-4,3E-05;9E-05;0,000133
164;7,354080;;192,168,100,98;104,18,30,87;TCP;54;65403  >  443 [ACK] Seq=1 Ack=1 Win=131584 Len=0;;;7,354080;7,354170;9E-05;;-0,000247;0,000337;0,000584
165;7,354170;;192,168,100,98;192.168.100.111;TCP;164;59361  >  8009 [PSH, ACK] Seq=111 Ack=111 Win=512 Len=110 [TCP segment of a reassembled PDU];;;7,354170;7,354507;0,000337;;0,000337;0;-0,000337
166;7,354507;;104,18,30,87;192,168,100,98;TCP;66;443  >  65404 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1400 SACK_PERM=1 WS=1024;;;7,354507;7,354507;0;;0;0;0
167;7,354507;;104,18,30,87;192,168,100,98;TCP;66;443  >  65405 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1400 SACK_PERM=1 WS=1024;;;7,354507;7,354507;0;;0;0;0
168;7,354507;;104,18,30,87;192,168,100,98;TCP;66;443  >  65406 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1400 SACK_PERM=1 WS=1024;;;7,354507;7,354507;0;;-0,000153;0,000153;0,000306
169;7,354507;;104,18,30,87;192,168,100,98;TCP;66;443  >  65407 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1400 SACK_PERM=1 WS=1024;;;7,354507;7,354660;0,000153;;0,000119;3,4E-05;-8,5E-05
170;7,354660;;192,168,100,98;104,18,30,87;TCP;54;65404  >  443 [ACK] Seq=1 Ack=1 Win=131584 Len=0;;;7,354660;7,354694;3,4E-05;;1,7E-05;1,7E-05;-8,88178E-16
171;7,354694;;192,168,100,98;104,18,30,87;TCP;54;65405  >  443 [ACK] Seq=1 Ack=1 Win=131584 Len=0;;;7,354694;7,354711;1,7E-05;;-5E-06;2,2E-05;2,7E-05
172;7,354711;;192,168,100,98;104,18,30,87;TCP;54;65406  >  443 [ACK] Seq=1 Ack=1 Win=131584 Len=0;;;7,354711;7,354733;2,2E-05;;-0,000262;0,000284;0,000546
173;7,354733;;192,168,100,98;104,18,30,87;TCP;54;65407  >  443 [ACK] Seq=1 Ack=1 Win=131584 Len=0;;;7,354733;7,355017;0,000284;;0,000284;0;-0,000284
174;7,355017;;104,18,30,87;192,168,100,98;TCP;66;443  >  65409 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1400 SACK_PERM=1 WS=1024;;;7,355017;7,355017;0;;-7,7E-05;7,7E-05;0,000154
175;7,355017;;104,18,30,87;192,168,100,98;TCP;66;443  >  65408 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1400 SACK_PERM=1 WS=1024;;;7,355017;7,355094;7,7E-05;;2,9E-05;4,8E-05;1,9E-05
176;7,355094;;192,168,100,98;104,18,30,87;TCP;54;65409  >  443 [ACK] Seq=1 Ack=1 Win=131584 Len=0;;;7,355094;7,355142;4,8E-05;;4,4E-05;4E-06;-4E-05
177;7,355142;;192,168,100,98;104,18,30,87;TCP;54;65408  >  443 [ACK] Seq=1 Ack=1 Win=131584 Len=0;;;7,355142;7,355146;4E-06;;-0,000772;0,000776;0,001548
178;7,355146;;192,168,100,98;104,18,30,87;TLSv1,3;571;Client Hello;;;7,355146;7,355922;0,000776;;0,000714;6,2E-05;-0,000652
179;7,355922;;104,18,30,87;192,168,100,98;TCP;66;443  >  65401 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1400 SACK_PERM=1 WS=1024;;;7,355922;7,355984;6,2E-05;;-0,002935;0,002997;0,005932
180;7,355984;;192,168,100,98;104,18,30,87;TCP;54;65401  >  443 [ACK] Seq=1 Ack=1 Win=131584 Len=0;;;7,355984;7,358981;0,002997;;-0,00055;0,003547;0,004097
181;7,358981;;192,168,100,98;104,18,30,87;TLSv1,3;571;Client Hello;;;7,358981;7,362528;0,003547;;-0,001265;0,004812;0,006077
182;7,362528;;192,168,100,98;104,18,30,87;TLSv1,3;571;Client Hello;;;7,362528;7,367340;0,004812;;0,003978;0,000834;-0,003144
183;7,367340;;192,168,100,98;104,18,30,87;TLSv1,3;571;Client Hello;;;7,367340;7,368174;0,000834;;0,000588;0,000246;-0,000342
184;7,368174;;104,18,30,87;192,168,100,98;TCP;54;443  >  65396 [ACK] Seq=1 Ack=518 Win=68608 Len=0;;;7,368174;7,368420;0,000246;;-0,000408;0,000654;0,001062
185;7,368420;;104,18,30,87;192,168,100,98;TCP;54;443  >  65397 [ACK] Seq=1 Ack=518 Win=68608 Len=0;;;7,368420;7,369074;0,000654;;0,000654;0;-0,000654
186;7,369074;;104,18,30,87;192,168,100,98;TLSv1,3;1466;Server Hello, Change Cipher Spec;;;7,369074;7,369074;0;;0;0;0
187;7,369074;;104,18,30,87;192,168,100,98;TCP;1466;443  >  65396 [ACK] Seq=1413 Ack=518 Win=68608 Len=1412 [TCP segment of a reassembled PDU];;;7,369074;7,369074;0;;-3,8E-05;3,8E-05;7,6E-05
188;7,369074;;104,18,30,87;192,168,100,98;TLSv1,3;1422;Application Data;;;7,369074;7,369112;3,8E-05;;-0,00211;0,002148;0,004258
189;7,369112;;192,168,100,98;104,18,30,87;TCP;54;65396  >  443 [ACK] Seq=518 Ack=4193 Win=131584 Len=0;;;7,369112;7,371260;0,002148;;0,002148;0;-0,002148
190;7,371260;;192.168.100.111;192,168,100,98;TCP;164;8009  >  59360 [PSH, ACK] Seq=111 Ack=221 Win=1419 Len=110 [TCP segment of a reassembled PDU];;;7,371260;7,371260;0;;-0,000343;0,000343;0,000686
191;7,371260;;192.168.100.111;192,168,100,98;TCP;164;8009  >  59361 [PSH, ACK] Seq=111 Ack=221 Win=1436 Len=110 [TCP segment of a reassembled PDU];;;7,371260;7,371603;0,000343;;0,000343;0;-0,000343
192;7,371603;;104,18,30,87;192,168,100,98;TLSv1,3;1466;Server Hello, Change Cipher Spec;;;7,371603;7,371603;0;;-4,7E-05;4,7E-05;9,4E-05
193;7,371603;;104,18,30,87;192,168,100,98;TCP;1466;443  >  65397 [ACK] Seq=1413 Ack=518 Win=68608 Len=1412 [TCP segment of a reassembled PDU];;;7,371603;7,371650;4,7E-05;;4,5E-05;2E-06;-4,3E-05
